pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
2.64E-06,0.029007144,116471,-366.41592,108.30085,-28.645468,21.137642,1.2961165,2.9040787,-9.157264,0.63609374,-14.431812,-3.555917,-11.6686535,-10.020829,-5.347044,english
3.35E-06,0.049929515,133590,-350.54816,89.57325,8.679963,30.213118,13.186387,14.485404,2.3545659,2.2667506,-10.971319,-6.6202607,-3.8396938,-7.6361804,-1.9661103,english
1.76E-06,0.028393688,100295,-335.47998,115.21027,-25.898745,21.614162,17.020699,16.453108,-11.366792,12.334557,-11.130977,-7.6351566,-6.813914,-0.76715,-1.9635952,english
-2.36E-07,0.050588053,100657,-334.9895,126.18552,13.7730255,36.205345,5.21822,23.97427,-8.938455,-5.59902,0.4081523,-12.90214,-2.791725,-10.02373,-5.9895234,english
-1.31E-06,0.053742334,68272,-339.6383,134.51332,16.790451,31.175762,9.424598,21.531017,-11.144575,-15.677288,-8.756983,-9.624095,-0.1325174,-7.3355536,0.0728991,english
-1.01E-06,0.03618435,108054,-363.55847,104.13876,-34.018425,73.62116,20.46759,5.601391,8.928278,-5.229006,-1.7689164,-6.1122355,-1.9866153,4.449602,-17.244873,english
1.29E-06,0.038636692,151455,-374.03424,74.371605,-13.022217,28.636238,-10.736697,8.173,-11.819697,-8.603514,-10.646794,-2.9196377,-13.015448,-13.657393,-14.335756,english
4.87E-07,0.034613993,132584,-385.7578,95.563805,-8.381205,4.229737,-7.027855,4.3060822,-10.238874,2.9079902,-11.476328,-4.2364264,-14.273432,-8.644368,-8.642461,english
1.75E-07,0.032528758,116248,-372.16388,104.58024,-12.1051,9.138722,16.30431,9.88295,-17.44884,8.704908,-10.206343,-14.566208,-10.483349,0.10234701,2.5384333,english
6.07E-07,0.04414915,95597,-344.7724,121.547264,-11.627518,4.2843122,-0.24113497,-14.254459,-20.011288,-1.1372836,-16.003447,-3.4270432,-14.507291,-16.287357,-4.7645755,english
2.02E-05,0.044663493,105459,-294.5362,128.93993,-12.5577,41.71878,3.6208727,3.159664,-6.8897243,11.845745,-20.127375,-4.986195,-0.7159606,5.706274,-4.052227,english
1.16E-05,0.031898163,107037,-359.4215,88.64537,-33.12283,59.449318,6.1830854,17.032108,0.11691043,9.659319,-3.629306,5.928628,2.1132908,6.8137937,0.8151971,english
-3.77E-06,0.05202844,99436,-362.03052,117.16369,1.848548,32.42074,24.096449,19.92915,-3.5943203,0.7115534,-6.4574656,-8.241665,-5.3793263,-3.869932,-4.3745503,english
-1.49E-07,0.1242105,106071,-285.17508,99.506836,5.4907155,29.612597,-15.760884,13.655494,-13.358574,-5.635378,0.22604014,-4.0748186,1.8069065,-0.7263301,-5.5073996,english
5.21E-05,0.04590516,80098,-313.42856,115.941154,-5.557054,38.00849,1.2997413,25.440643,1.4498557,-2.0460312,7.0486236,8.897956,-8.993786,12.853397,-2.4720373,english
9.22E-07,0.027878087,62787,-340.4573,110.74883,-8.232671,31.08064,28.478992,15.005384,-9.335518,5.8791738,4.467256,4.841143,-6.4594765,-1.7518795,-3.5985556,english
1.33E-06,0.042218905,80692,-382.2195,116.80645,-9.267642,26.040586,18.493547,11.878244,3.7173252,-2.410974,-17.29704,-7.1470895,-8.759621,4.496413,-9.021102,english
3.22E-06,0.046848513,106569,-320.47855,128.15367,-21.014357,14.028256,13.221934,2.8130543,-28.02463,-9.892955,-22.71961,6.939379,2.1254246,-9.984509,-9.507968,english
6.40E-07,0.029707681,136764,-358.9267,92.491714,-34.81312,22.067883,-3.9668996,35.71068,-30.078094,-7.5488586,0.8788203,-4.284211,-13.546133,-2.9947464,2.8769698,english
-1.25E-06,0.03271887,112191,-393.3932,109.67027,-62.51166,32.332592,30.084642,-14.438156,10.606367,-10.1484375,-9.915148,4.813538,-16.30752,-0.28235495,6.7888503,english
0.000267103,0.036415022,57592,-424.01584,99.66627,4.8475404,35.288765,31.397305,6.560731,1.8000615,2.5831466,-0.50849485,-1.2918279,0.008845102,-3.395537,0.92720544,english
-3.87E-05,0.0655439,110709,-336.03568,101.988365,-11.518149,40.43378,-0.22705244,14.098283,-12.010338,-15.238237,14.141242,-1.1197115,-13.090139,5.538755,-8.23981,english
-2.48E-06,0.039344985,87296,-344.62692,128.37164,-24.57821,6.7809825,1.2285968,25.813612,-12.639684,-6.646734,-5.0422883,5.0551066,-7.567808,-12.935404,6.8358665,english
7.23E-05,0.052834287,115783,-321.9005,106.49284,-16.934149,26.520123,1.4182851,27.136852,-19.626307,-3.306467,-3.025774,-10.46888,-9.095566,-9.2228775,0.57560253,english
7.22E-05,0.03301236,86463,-412.07956,79.72083,-17.225916,35.345837,9.1646185,27.658537,-2.8076527,-2.4908931,-3.7964132,-6.562949,-3.933872,-9.125182,1.9230744,english
-0.000104206,0.053586468,65287,-328.41318,126.92032,-16.075089,31.951912,22.437302,10.141436,-1.7120528,9.781479,-4.6872883,0.85685414,0.32570285,3.2122962,-0.4887613,english
2.17E-05,0.04556729,88845,-376.17725,110.52474,-28.113808,43.473995,34.180603,16.35502,-9.037028,-2.5970802,-6.7257805,-13.618799,2.167473,-2.9642348,0.59176785,english
-3.73E-06,0.03637589,103326,-383.1128,101.0407,-32.010593,21.863832,4.4363093,15.684922,-13.22899,4.927571,-5.7474346,-23.789602,-6.3133054,-14.123845,-4.649969,english
0.000244392,0.08098052,102490,-294.74585,93.43927,-3.2814157,32.48883,12.327591,9.346866,-0.63415354,2.8584116,-4.1229954,6.654661,-4.0630374,8.905881,-5.802028,english
-9.80E-06,0.045022372,66125,-417.04242,105.75156,17.280308,46.478977,32.389843,13.27331,-0.8112202,-12.701582,-17.86649,-16.563604,-7.8711734,-6.919133,-9.539969,english
-5.55E-05,0.047151305,56539,-363.31323,148.99812,4.684106,16.387737,11.988307,14.236664,1.608531,6.3998733,-0.5000858,4.0500875,4.4571567,-1.1571043,-0.8012341,english
-5.83E-06,0.04170275,163773,-362.3723,100.424866,10.702159,31.467833,18.221378,15.318036,3.2195315,8.028467,2.0210319,5.2426434,-0.12380123,3.7295632,-0.95596856,english
-3.81E-05,0.043814752,105469,-388.621,92.98234,-27.429255,27.701656,7.7065043,19.464563,-3.9480226,1.9272265,2.826207,-7.550307,-7.0271916,-1.6365703,-13.737187,english
-0.000195712,0.029663598,57760,-387.50784,118.230484,8.347816,22.688677,22.295725,12.283815,3.6121287,2.126771,5.750506,-1.8153664,-1.6990834,5.0193353,-0.65683925,english
-2.02E-06,0.05271415,94309,-356.0684,129.40543,3.091891,29.355045,20.328753,26.676535,3.45378,11.768486,-6.1813397,-8.204232,0.39325812,-3.9763463,-2.159708,english
-0.000108667,0.08570741,70711,-251.897,104.382545,-24.89013,38.87984,11.115346,17.964672,-1.6566008,10.897757,-3.9528656,2.4560757,-1.376161,5.2850366,-5.82238,english
6.28E-05,0.03436301,37535,-404.22433,135.2236,-0.8959681,37.04287,27.830248,13.154861,4.319958,6.053528,5.143842,0.783367,-0.06695554,6.697316,-2.5509198,english
-1.37E-06,0.032050826,109040,-371.29126,99.3521,-3.8375518,32.74488,-0.65797704,9.707735,1.4383621,2.6308525,-21.973963,-5.9946976,-1.3432399,-2.6705413,-9.404757,english
