pitch,energy,zero_crossings,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,lang
7.35E-08,0.027396215,77464,-400.2472,136.16722,7.0640717,34.29843,15.770176,-9.185263,-1.4931746,-11.928201,-8.37526,-9.52942,-11.38132,-2.6718383,-13.106014,russian
7.09E-08,0.026186543,78158,-401.14014,138.28247,3.683208,34.785828,2.9915397,-14.482632,-5.6301346,-16.064922,-7.8695803,-12.747839,-9.480031,-7.547363,-16.857336,russian
2.45E-08,0.025987124,51892,-407.27637,137.32298,7.0931735,35.011883,15.643871,-8.939392,-0.9403154,-12.27307,-8.332128,-9.428977,-11.716643,-2.7445483,-13.053641,russian
-1.92E-06,0.03775545,113578,-378.40445,151.08113,-13.002657,34.41296,26.305738,-10.234173,8.897936,-3.1604009,-10.842375,-2.8681502,-8.001234,-2.0417507,-6.802074,russian
-1.88E-06,0.036010183,114541,-377.84683,149.91795,-15.31322,39.493855,14.46514,-13.692515,7.2811813,-12.018071,-9.4271755,-3.781367,-8.344727,-3.093691,-10.592834,russian
-2.45E-06,0.035754003,77554,-382.96304,150.99385,-12.457969,35.12809,26.150288,-10.259573,9.249365,-3.3127463,-11.1274,-2.8702126,-7.824529,-1.9769579,-6.931665,russian
-0.00179437,0.059146535,37936,-426.50922,143.18774,28.200499,33.63397,32.80442,13.800725,15.746443,7.386439,-0.4668481,3.1444392,2.5696359,-0.3763971,0.7447121,russian
-0.001577938,0.056435976,34320,-428.92712,150.21729,24.789665,36.776196,28.688204,10.112864,12.935798,1.2925837,-0.8318819,3.8494341,-0.014259053,-1.8755995,-0.22539242,russian
-0.00177315,0.05662104,23406,-436.4866,154.845,24.33622,33.647003,34.194885,13.42081,15.942102,6.3277955,-1.7001752,2.9546542,2.675642,-0.4481495,0.2520152,russian
-2.49E-07,0.047963016,81419,-378.32516,138.04584,6.6325026,21.166199,24.244148,4.800836,3.4329512,-12.399658,-14.134433,-4.528775,-9.862064,-12.582585,-6.8644624,russian
